286413,26,-326437.794452,4471699.59701,2009-04-08 05:21:13,2754
234419,22,-326439.240326,4471704.5987,2009-04-27 08:08:23,2754
233949,22,-326425.761972,4471709.76947,2009-03-26 06:20:14,2753
234210,22,-326436.913733,4471699.72591,2009-06-11 11:24:32,2753
234210,22,-326436.913733,4471699.72591,2009-06-11 11:24:35,2753
235313,22,-326437.843921,4471700.72881,2009-06-03 12:29:50,2753
234354,22,-326428.01136,4471706.63645,2009-06-06 11:28:43,2752
233882,22,-326427.778063,4471704.8087,2009-04-23 07:43:03,2751
235414,22,-326437.199866,4471709.78208,2009-05-13 04:30:50,2750
234210,22,-326436.710039,4471708.71473,2009-06-11 12:14:32,2750
286413,26,-326430.669066,4471713.23506,2009-04-08 05:34:33,2750
235264,22,-326431.790388,4471704.57193,2009-04-25 09:26:00,2750
234419,22,-326425.344473,4471706.45726,2009-04-27 09:09:23,2750
234829,22,-326426.531568,4471707.48827,2009-02-23 02:10:19,2749
234210,22,-326432.416821,4471709.93451,2009-06-11 12:14:07,2748
181518,44,-326430.250069,4471706.76879,2009-03-05 05:36:07,2748
234210,22,-326431.578827,4471697.00198,2009-06-11 12:13:57,2747
235325,22,-326439.016965,4471697.92857,2009-05-06 10:25:07,2747
233882,22,-326436.630967,4471696.76636,2009-04-23 05:11:38,2747
286413,26,-326435.080713,4471703.8056,2009-04-08 05:21:18,2747
