60170164,"amenity=restaurant,shop=books",-317025.581738352,4465886.51709074
273092476,"amenity=restaurant,name:en=남라고향 후통 인근",-321479.510748459,4466895.08793131
273111613,amenity=restaurant,-316827.61557737,4465915.05491031
290597856,"amenity=restaurant,name:en=Kongyiji Restaurant",-323298.728930134,4467733.78114536
294123632,"amenity=restaurant,name:en=Kongliang Hotpot Restaurant",-319932.308081722,4467136.32781989
296346952,"amenity=restaurant,name:en=Liliangui Pasta Restaurant",-337500.189225462,4459051.5157166
297113749,"amenity=restaurant,name:en=Nine-head Eagle Restaurant",-323775.477045904,4472450.40731044
297113753,"amenity=restaurant,name:en=Ottos Restaurant (Garden East Road)",-323776.792990452,4472516.40513353
297407376,amenity=restaurant,-325908.218808577,4471837.03316529
312152376,"amenity=restaurant,name:en=Yonghe King",-326756.584447008,4473705.33001745
312152381,"amenity=restaurant,name:en=Yippin (Wudaokou)",-326739.574584719,4473704.40167418
312152388,amenity=restaurant,-326717.533963981,4473701.86348973
312152403,amenity=restaurant,-326785.471136682,4473699.55063474
312152407,amenity=restaurant,-326772.625768537,4473706.47896113
380744190,amenity=restaurant,-328154.580771465,4474447.98061027
380769202,amenity=restaurant,-327630.676978866,4473766.81931821
380769210,amenity=restaurant,-327612.358538652,4473751.03413435
380769262,amenity=restaurant,-326861.09802582,4473786.16663853
380770656,"amenity=restaurant,name:en=Guan Chou Yuan Canteen",-327564.994704034,4475418.07751163
513237820,amenity=restaurant,-317140.517428997,4466116.92418405
586468177,amenity=restaurant,-327916.684008782,4470645.13297242
586468178,amenity=restaurant,-327938.839016587,4470646.63722036
586468181,amenity=restaurant,-327906.72611101,4470668.13626278
586469194,amenity=restaurant,-327780.531341587,4471022.03300967
586469195,amenity=restaurant,-327779.077395149,4471060.76954324
586469196,amenity=restaurant,-327774.928272883,4471081.62705312
586469197,amenity=restaurant,-327807.652959234,4471113.9261179
586469200,amenity=restaurant,-327826.748699529,4471117.86618265
586469201,amenity=restaurant,-327780.05765151,4471043.28201984
598799717,"amenity=restaurant,name:en=Pizza Hut",-317836.183245968,4466987.98012697
600242389,amenity=restaurant,-317202.449765287,4466117.43263383
600242421,amenity=restaurant,-317481.342571019,4465871.76074198
600243400,amenity=restaurant,-316471.141030461,4465848.85259765
600244064,"amenity=restaurant,name:en=JingZun Beijing Duck Restaurant",-317987.497148376,4466498.99127639
600244301,amenity=restaurant,-317934.013251822,4466827.54931421
600244302,amenity=restaurant,-317823.653554162,4466147.79017637
600244484,amenity=restaurant,-317166.428024816,4466363.33355371
600244597,amenity=restaurant,-317695.873300991,4466194.19649471
600244613,amenity=restaurant,-317150.009437008,4466305.6538603
675725144,amenity=restaurant,-316806.647904455,4465786.98463149
688145299,amenity=restaurant,-313431.32666361,4471520.03561986
718385422,amenity=restaurant,-314448.177511042,4470521.42482651
754501517,amenity=restaurant,-316697.090116756,4469293.50836636
756356773,amenity=restaurant,-311189.067729256,4475634.02635974
761252267,amenity=restaurant,-328686.606330577,4472629.09944975
819955036,"amenity=restaurant,name:en=Pizza Hut",-315509.272228418,4473425.61610359
819987318,amenity=restaurant,-314280.548528748,4471722.64605553
819988004,amenity=restaurant,-314261.028227411,4471721.6669687
820134792,amenity=restaurant,-314324.492340411,4471753.50648638
820134922,"amenity=restaurant,name:en=Pizza Hut",-314341.47744124,4471769.47990188
820225472,amenity=restaurant,-317454.674683828,4465997.09800646
821490023,amenity=restaurant,-317156.282749503,4467314.3758998
821494033,amenity=restaurant,-317137.916443506,4467379.02829153
822458912,"amenity=restaurant,name:en=Japanese Restaurant",-316507.40502665,4471487.79843679
822458931,"amenity=restaurant,name:en=9th Dynasty",-316440.271515984,4471474.75247107
854692925,amenity=restaurant,-320243.950498285,4468310.21453068
875474484,amenity=restaurant,-325718.217614842,4473521.55308763
930076067,"amenity=restaurant,name:en=Zijing Yuan Canteen",-326961.509859841,4475907.44075834
930076069,"amenity=restaurant,name:en=Tao Li Yuan Canteen",-327191.069613618,4475839.55895447
937632430,"amenity=restaurant,name:en=Ting Tao Yuan Canteen",-327163.190154967,4475340.06799158
937633529,"amenity=restaurant,name:en=Ding Xiang Yuan Canteen",-327149.455529034,4475543.52875558
941374337,amenity=restaurant,-327411.133460159,4474469.6062836
941374342,amenity=restaurant,-327405.824475293,4474519.28601695
942349387,"amenity=restaurant,name:en=Qing Fen Canteen",-327059.135667922,4475225.19598992
980098186,"amenity=restaurant,name:en=Xi Chun Yuan Canteen",-327700.844887908,4474888.00197575
980098192,"amenity=restaurant,name:en=He Yuan Canteen",-327699.342658792,4474994.32114275
983351375,"amenity=restaurant,name:en=Wen Xin Yuan Canteen",-327024.464657853,4475359.55194548
984108155,amenity=restaurant,-319858.259083733,4461753.62345989
984109321,amenity=restaurant,-319852.463633783,4461738.2446304
991507773,amenity=restaurant,-322354.151647436,4464922.46098978
1040903858,amenity=restaurant,-317658.866457207,4466161.88817054
1041372269,amenity=restaurant,-330557.870518114,4464845.32790738
1162973534,amenity=restaurant,-329311.276886638,4473913.76580056
1288654847,amenity=restaurant,-316999.971643907,4467405.92000237
1364164100,amenity=restaurant,-326130.205456258,4471879.06584249
1367439206,amenity=restaurant,-325678.666450958,4472884.71405616
1367488980,amenity=restaurant,-326259.903431515,4471974.29868408
1367513522,amenity=restaurant,-319879.153052155,4474084.14049958
1409341064,amenity=restaurant,-317450.187776384,4465917.08302357
1485580213,"amenity=restaurant,name:en=Pizza Hut",-325404.754092842,4457105.37520316
1485599092,amenity=restaurant,-325903.39796125,4457000.38231494
